V01301 V04001 V04002 V13305 V10004_701 V12001_701 V13004_701 V13003_701 V14032 V13052
56778 1966 7 184.3000 806.9000 19.8000 19.6000 85.0000 157.1000 21.9000 
56778 1966 8 396.0000 808.8000 18.7000 18.5000 87.0000 144.9000 81.8000 
56778 1966 9 176.5000 812.6000 15.7000 15.7000 89.0000 106.7000 28.2000 
56778 1966 10 119.2000 814.4000 14.1000 13.7000 86.0000 157.8000 23.9000 
56778 1966 11 13.8000 813.5000 12.5000 10.8000 76.0000 219.9000 6.3000 
56778 1966 12 8.4000 811.4000 9.5000 7.4000 67.0000 258.5000 2.3000 
56778 1967 1 9.7000 813.3000 7.5000 7.5000 74.0000 199.8000 5.7000 
56778 1967 2 2.8000 810.6000 8.8000 7.4000 69.0000 211.2000 2.5000 
56778 1967 3 8.1000 810.1000 11.7000 8.5000 65.0000 259.8000 3.1000 
56778 1967 4 51.5000 809.6000 14.4000 10.3000 66.0000 251.2000 12.7000 
56778 1967 5 21.3000 807.7000 19.4000 14.5000 66.0000 289.5000 10.6000 
56778 1967 6 166.7000 806.9000 20.1000 16.8000 72.0000 159.3000 54.9000 
56778 1967 7 146.9000 807.1000 19.9000 19.3000 84.0000 156.8000 34.0000 
56778 1967 8 116.9000 807.7000 19.7000 19.0000 84.0000 227.6000 20.3000 
56778 1967 9 116.6000 811.1000 17.1000 16.6000 86.0000 120.5000 32.3000 
56778 1967 10 117.7000 814.2000 14.3000 13.4000 83.0000 165.6000 42.5000 
56778 1967 11 93.6000 814.3000 10.5000 10.1000 81.0000 216.0000 20.5000 
56778 1967 12 12.5000 813.5000 6.9000 7.5000 78.0000 201.2000 999809.6000 
56778 1968 1 19.7000 810.8000 7.6000 7.2000 72.0000 999999.0000 12.9000 
56778 1968 2 18.2000 809.5000 8.3000 7.1000 67.0000 999999.0000 999814.1000 
56778 1968 3 5.3000 809.0000 13.7000 8.4000 57.0000 999999.0000 2.4000 
56778 1968 4 65.5000 811.3000 14.7000 10.8000 67.0000 999999.0000 20.1000 
56778 1968 5 50.9000 808.2000 18.8000 13.9000 66.0000 999999.0000 14.2000 
56778 1968 6 106.9000 808.5000 19.3000 17.2000 77.0000 999999.0000 27.3000 
56778 1968 7 250.7000 807.6000 19.9000 19.0000 82.0000 999999.0000 69.6000 
56778 1968 8 167.5000 808.1000 19.6000 19.2000 84.0000 999999.0000 27.5000 
56778 1968 9 232.9000 811.8000 18.1000 17.3000 83.0000 999999.0000 69.0000 
56778 1968 10 136.7000 813.9000 15.2000 14.7000 86.0000 141.9000 18.1000 
56778 1968 11 1.5000 814.8000 12.4000 10.2000 74.0000 272.1000 1.5000 
56778 1968 12 0.0000 812.2000 9.1000 6.9000 65.0000 283.9000 999990.0000 
56778 1969 1 10.1000 809.5000 8.6000 6.2000 61.0000 276.7000 7.8000 
56778 1969 2 1.6000 809.4000 10.2000 5.6000 51.0000 260.1000 0.9000 
56778 1969 3 3.4000 810.3000 13.9000 8.1000 55.0000 299.2000 3.4000 
56778 1969 4 6.3000 810.6000 16.1000 9.4000 55.0000 286.8000 2.0000 
56778 1969 5 29.7000 808.5000 21.1000 13.0000 54.0000 279.6000 29.7000 
56778 1969 6 117.0000 808.3000 19.7000 17.5000 77.0000 181.5000 49.7000 
56778 1969 7 314.1000 807.7000 19.7000 19.6000 86.0000 136.4000 41.0000 
56778 1969 8 194.0000 809.5000 18.6000 18.4000 87.0000 129.0000 40.8000 
56778 1969 9 109.3000 812.2000 16.9000 16.1000 84.0000 197.8000 40.2000 
56778 1969 10 30.0000 813.9000 15.0000 12.9000 78.0000 180.7000 10.2000 
56778 1969 11 21.2000 814.4000 10.8000 9.9000 78.0000 170.5000 9.2000 
56778 1969 12 8.6000 814.1000 8.1000 7.9000 76.0000 193.4000 3.9000 
56778 1970 1 11.5000 811.6000 7.2000 6.6000 69.0000 261.8000 999808.5000 
56778 1970 2 2.3000 811.2000 9.9000 7.0000 62.0000 258.3000 999801.3000 
56778 1970 3 36.7000 808.9000 13.3000 8.2000 58.0000 291.5000 999822.2000 
56778 1970 4 72.2000 811.4000 14.9000 11.1000 68.0000 251.1000 34.8000 
56778 1970 5 67.3000 809.5000 18.4000 14.3000 70.0000 195.4000 24.4000 
56778 1970 6 141.7000 809.2000 19.0000 17.2000 79.0000 158.6000 29.8000 
56778 1970 7 257.6000 806.7000 19.4000 19.3000 86.0000 78.5000 47.2000 
56778 1970 8 159.9000 809.5000 19.3000 18.7000 85.0000 215.3000 67.5000 
56778 1970 9 98.7000 810.7000 17.6000 16.8000 84.0000 151.6000 58.2000 
56778 1970 10 40.4000 814.6000 13.4000 12.2000 80.0000 160.1000 15.8000 
56778 1970 11 72.9000 815.1000 10.5000 10.3000 83.0000 159.0000 15.2000 
56778 1970 12 66.6000 812.4000 8.4000 8.5000 79.0000 215.1000 26.0000 
56778 1971 1 20.5000 812.0000 5.9000 6.7000 76.0000 207.8000 999808.5000 
56778 1971 2 15.5000 810.1000 7.6000 6.6000 69.0000 224.5000 999807.2000 
56778 1971 3 18.7000 811.9000 12.1000 8.5000 65.0000 268.7000 6.3000 
